applicant_id,consent,priority,physics_ikt,russian,math,achievements,total
100110,1,4,70,78,61,5,214
100111,1,1,83,76,50,2,211
100112,0,1,97,50,51,6,204
100113,1,1,54,86,69,1,210
100114,1,1,95,59,55,0,209
100115,0,1,91,57,50,5,203
100116,1,1,70,76,52,10,208
100117,0,1,89,59,50,4,202
100118,0,1,88,53,57,3,201
100119,1,1,92,53,53,9,207
100120,0,1,89,53,56,2,200
100121,1,1,92,54,52,8,206
100122,1,1,66,79,53,7,205
100123,0,1,75,69,54,1,199
100124,0,1,65,80,53,0,198
100125,0,1,78,50,59,10,197
100126,0,1,65,58,64,9,196
100127,0,1,59,61,67,8,195
100128,0,1,69,61,57,7,194
100129,0,1,58,58,71,6,193
100130,0,1,80,56,51,5,192
100131,0,1,65,71,51,4,191
100132,0,1,73,60,54,3,190
100133,1,2,93,63,53,4,213
100134,0,2,77,59,51,2,189
100135,0,2,61,67,59,1,188
100136,0,2,85,51,51,0,187
100137,0,2,65,57,54,10,186
100138,0,1,58,68,50,9,185
100139,0,2,53,63,60,8,184
100140,0,2,61,59,56,7,183
100141,0,2,54,51,71,6,182
100142,0,2,55,70,51,5,181
100143,0,2,72,53,51,4,180
100144,0,2,63,60,53,3,179
100145,0,2,60,65,51,2,178
100146,0,1,65,60,51,1,177
100147,0,2,55,67,54,0,176
100148,0,1,61,52,52,10,175
100149,0,2,53,56,56,9,174
100150,0,2,61,53,51,8,173
100151,0,1,64,51,50,7,172
100152,0,2,65,50,50,6,171
100153,0,2,60,54,51,5,170
100154,0,2,65,50,50,4,169
100155,0,2,61,53,51,3,168
100156,0,2,60,53,52,2,167
100157,0,1,62,52,51,1,166
100158,0,1,50,61,54,0,165
100159,0,2,52,52,50,10,164
100160,0,2,51,53,50,9,163
100161,1,3,94,62,53,3,212
100162,0,2,51,53,50,8,162
100163,0,2,53,50,51,7,161
100164,0,1,52,52,50,6,160
100165,0,2,53,50,51,6,160
100166,0,2,50,54,50,6,160
100167,0,1,51,50,53,6,160
100168,0,1,53,51,50,6,160
100169,0,1,53,51,50,6,160
100170,0,2,50,54,50,6,160
100171,0,2,52,52,50,6,160
100172,0,2,50,53,51,6,160
100173,0,2,54,50,50,6,160
100174,0,2,53,51,50,6,160
100175,0,3,51,50,53,6,160
100176,0,3,53,51,50,6,160
100177,0,1,50,54,50,6,160
100178,0,1,54,50,50,6,160
100179,0,3,52,52,50,6,160
