applicant_id,consent,priority,physics_ikt,russian,math,achievements,total
100013,1,1,81,58,92,10,241
100014,0,1,80,61,68,10,219
100015,0,1,69,68,72,9,218
100016,0,1,60,94,55,8,217
100017,0,1,87,50,72,7,216
100018,0,1,98,54,57,6,215
100019,0,1,92,66,51,5,214
100020,0,1,66,81,62,4,213
100021,0,1,69,80,60,3,212
100022,0,1,92,59,58,2,211
100023,1,1,84,70,77,9,240
100024,0,1,87,69,53,1,210
100025,1,1,64,68,99,8,239
100026,1,1,99,80,52,7,238
100027,1,1,80,90,61,6,237
100028,0,1,86,58,65,0,209
100029,0,1,76,64,58,10,208
100030,0,1,78,65,55,9,207
100031,1,1,97,61,73,5,236
100032,0,1,83,61,54,8,206
100033,1,1,98,60,73,4,235
100034,1,1,100,63,68,3,234
100035,0,1,68,56,74,7,205
100036,0,1,92,53,53,6,204
100037,1,1,90,90,51,2,233
100038,0,1,70,73,55,5,203
100039,0,1,66,82,50,4,202
100040,0,1,87,53,58,3,201
100041,0,1,55,84,59,2,200
100042,1,1,95,84,52,1,232
100043,0,1,97,50,51,1,199
100044,0,1,92,50,56,0,198
100045,0,1,83,51,53,10,197
100046,0,1,65,63,59,9,196
100047,0,1,81,53,53,8,195
100048,0,1,56,81,50,7,194
100049,0,1,64,68,55,6,193
100050,0,1,80,54,53,5,192
100051,0,1,77,57,53,4,191
100052,0,1,80,57,50,3,190
100053,0,1,59,69,59,2,189
100054,0,1,65,51,71,1,188
100055,0,1,78,54,55,0,187
100056,0,1,68,57,51,10,186
100057,1,1,98,63,70,0,231
100058,1,1,84,60,76,10,230
100059,1,1,73,61,86,9,229
100060,0,1,58,68,50,9,185
100061,1,1,71,87,62,8,228
100062,0,1,70,55,51,8,184
100063,1,2,88,76,78,2,244
100064,0,2,71,53,52,7,183
100065,0,1,66,58,52,6,182
100066,0,2,51,74,51,5,181
100067,0,1,76,50,50,4,180
100068,0,2,66,57,53,3,179
100069,0,1,51,61,64,2,178
100070,0,2,55,63,58,1,177
100071,0,2,70,54,52,0,176
100072,1,1,94,59,67,7,227
100073,0,1,52,58,55,10,175
100074,0,2,55,60,50,9,174
100075,0,2,63,51,51,8,173
100076,1,1,76,80,64,6,226
100096,0,1,62,53,50,7,172
100097,0,1,63,52,50,6,171
100098,0,2,52,63,50,5,170
100099,0,2,61,52,52,4,169
100100,0,1,55,51,59,3,168
100101,0,2,63,50,52,2,167
100102,0,1,65,50,50,1,166
100103,0,2,60,51,54,0,165
100104,1,1,73,73,74,5,225
100105,1,1,96,72,52,4,224
100106,0,2,53,51,50,10,164
100107,0,2,54,50,50,9,163
100108,0,1,52,50,52,8,162
100109,1,3,75,67,100,1,243
100146,0,2,50,53,51,7,161
100147,0,1,54,50,50,6,160
100148,0,2,53,50,51,6,160
100149,0,1,54,50,50,6,160
100150,0,1,51,53,50,6,160
100151,0,2,53,51,50,6,160
100152,0,1,52,52,50,6,160
100153,1,1,89,69,62,3,223
100154,0,1,52,51,51,6,160
100155,0,1,52,52,50,6,160
100156,0,1,51,51,52,6,160
100157,0,2,54,50,50,6,160
100158,0,2,54,50,50,6,160
100159,0,1,51,52,51,6,160
100160,0,1,51,51,52,6,160
100161,0,2,51,53,50,6,160
100162,1,1,87,80,53,2,222
100175,1,1,98,56,66,1,221
100176,1,1,76,91,53,0,220
100177,0,2,53,50,51,6,160
100178,1,4,93,84,65,0,242
100179,0,1,54,50,50,6,160
