applicant_id,consent,priority,physics_ikt,russian,math,achievements,total
100000,0,2,67,58,51,3,179
100001,0,4,66,57,53,2,178
100002,0,3,62,61,53,1,177
100003,0,2,60,61,55,0,176
100004,0,2,56,59,50,10,175
100005,0,3,65,50,50,9,174
100006,1,4,71,72,77,9,229
100007,1,3,95,67,58,8,228
100008,1,2,99,58,63,7,227
100009,0,1,59,54,52,8,173
100010,0,1,62,52,51,7,172
100011,0,3,59,52,54,6,171
100012,1,1,93,63,64,6,226
100013,0,2,58,54,53,5,170
100014,0,3,62,50,53,4,169
100015,0,3,53,58,54,3,168
100016,0,2,64,51,50,2,167
100017,0,1,63,52,50,1,166
100018,0,3,52,57,56,0,165
100019,0,2,54,50,50,10,164
100020,0,1,52,52,50,9,163
100021,0,1,51,51,52,8,162
100022,0,4,53,50,51,7,161
100023,0,2,53,51,50,6,160
100024,0,3,50,54,50,6,160
100025,0,2,53,50,51,6,160
100026,0,3,52,51,51,6,160
100027,0,2,52,51,51,6,160
100028,0,4,51,51,52,6,160
100029,0,1,52,52,50,6,160
100030,0,1,54,50,50,6,160
100031,0,4,52,52,50,6,160
100032,0,3,52,51,51,6,160
100033,0,3,51,52,51,6,160
100034,0,3,53,51,50,6,160
100035,0,3,52,51,51,6,160
100036,0,4,51,53,50,6,160
100037,0,2,51,53,50,6,160
100038,0,3,52,52,50,6,160
100039,0,2,53,50,51,6,160
100041,0,4,51,53,50,6,160
100042,0,2,50,54,50,6,160
100043,0,4,54,50,50,6,160
100044,0,1,52,51,51,6,160
100045,0,2,51,53,50,6,160
100046,0,2,52,51,51,6,160
100047,0,4,52,51,51,6,160
100048,0,4,51,52,51,6,160
100049,0,4,54,50,50,6,160
100050,0,2,51,50,53,6,160
100051,0,1,52,52,50,6,160
100052,0,4,51,53,50,6,160
100053,0,2,54,50,50,6,160
100054,0,2,51,53,50,6,160
100055,0,3,51,53,50,6,160
100056,0,3,51,52,51,6,160
100057,1,1,100,59,61,5,225
100058,0,4,53,50,51,6,160
100059,0,3,51,53,50,6,160
100060,0,4,54,50,50,6,160
100061,0,4,53,50,51,6,160
100062,0,4,53,50,51,6,160
100063,0,2,50,50,54,6,160
100064,0,3,53,51,50,6,160
100065,0,1,54,50,50,6,160
100066,0,2,52,50,52,6,160
100067,0,3,52,52,50,6,160
100068,0,2,52,52,50,6,160
100069,0,2,51,52,51,6,160
100070,0,1,51,52,51,6,160
100071,0,1,54,50,50,6,160
100072,0,1,51,52,51,6,160
100073,0,1,50,54,50,6,160
100074,0,4,51,51,52,6,160
100075,0,3,51,53,50,6,160
100076,0,2,53,51,50,6,160
100077,0,2,52,50,52,6,160
100078,0,2,51,50,53,6,160
