applicant_id,consent,priority,physics_ikt,russian,math,achievements,total
100000,1,4,95,91,100,8,294
100001,1,3,100,86,100,7,293
100002,1,2,100,86,100,6,292
100003,0,1,87,58,53,6,204
100004,0,2,93,55,50,5,203
100005,0,1,89,58,51,4,202
100006,0,2,98,50,50,3,201
100007,0,4,50,98,50,2,200
100008,0,3,74,51,73,1,199
100009,0,1,73,74,51,0,198
100010,0,4,65,66,56,10,197
100011,0,3,81,56,50,9,196
100012,0,1,72,65,50,8,195
100013,0,4,60,66,61,7,194
100014,0,2,73,58,56,6,193
100015,0,4,84,51,52,5,192
100016,0,3,60,70,57,4,191
100017,0,2,71,64,52,3,190
100018,0,2,72,53,62,2,189
100020,0,1,71,64,52,1,188
100021,0,3,75,57,55,0,187
100022,0,1,65,58,53,10,186
100023,0,2,75,50,51,9,185
100024,0,2,62,60,54,8,184
100025,0,1,74,51,51,7,183
100026,0,4,54,72,50,6,182
100027,1,1,86,100,100,5,291
100028,0,3,73,53,50,5,181
100029,0,3,64,62,50,4,180
100030,0,1,62,60,54,3,179
100031,0,1,70,54,52,2,178
100032,0,4,56,54,66,1,177
100033,0,3,65,54,57,0,176
100034,0,3,60,54,51,10,175
100035,0,4,54,56,55,9,174
100036,0,4,53,57,55,8,173
100037,0,1,58,56,51,7,172
100038,0,4,51,63,51,6,171
100039,0,3,60,52,53,5,170
100040,0,4,51,62,52,4,169
100041,0,2,62,53,50,3,168
100042,0,4,51,56,58,2,167
100043,0,1,63,52,50,1,166
100044,0,3,64,50,51,0,165
100045,0,3,52,50,52,10,164
100046,0,2,53,51,50,9,163
100047,0,3,52,52,50,8,162
100048,0,2,53,51,50,7,161
100049,0,3,52,52,50,6,160
100050,1,1,96,99,91,4,290
100051,0,3,54,50,50,6,160
100052,0,4,51,53,50,6,160
100053,0,1,52,51,51,6,160
100054,0,2,53,51,50,6,160
100055,0,1,53,51,50,6,160
100056,0,4,51,53,50,6,160
100058,0,2,54,50,50,6,160
100059,0,2,52,52,50,6,160
100060,0,3,52,52,50,6,160
100061,0,4,51,51,52,6,160
100062,0,3,53,50,51,6,160
100063,0,1,54,50,50,6,160
100064,0,2,53,51,50,6,160
100065,0,1,52,52,50,6,160
100066,0,3,54,50,50,6,160
100067,0,1,51,52,51,6,160
100068,0,2,53,51,50,6,160
100069,0,4,51,50,53,6,160
100070,0,4,54,50,50,6,160
100071,0,4,50,54,50,6,160
100072,0,2,54,50,50,6,160
100073,0,4,51,52,51,6,160
100074,0,1,53,51,50,6,160
100075,0,3,54,50,50,6,160
100076,0,2,51,53,50,6,160
100077,0,1,53,51,50,6,160
100078,0,2,53,51,50,6,160
100079,0,2,53,51,50,6,160
100080,0,1,53,51,50,6,160
100081,0,1,53,51,50,6,160
100082,0,2,51,53,50,6,160
100083,0,3,52,50,52,6,160
100084,0,2,51,53,50,6,160
100085,0,1,53,51,50,6,160
100086,0,2,54,50,50,6,160
100087,0,2,52,52,50,6,160
100088,0,4,54,50,50,6,160
100089,1,1,86,100,100,3,289
100090,0,1,54,50,50,6,160
100091,0,4,51,51,52,6,160
100092,0,4,51,53,50,6,160
100093,0,3,54,50,50,6,160
100094,0,4,54,50,50,6,160
100095,0,4,51,53,50,6,160
100096,0,2,53,51,50,6,160
100097,0,2,52,52,50,6,160
100098,0,3,52,51,51,6,160
100099,0,4,51,52,51,6,160
100100,0,4,50,53,51,6,160
100101,0,4,51,52,51,6,160
100102,0,4,50,52,52,6,160
100103,0,4,51,52,51,6,160
100104,0,2,53,51,50,6,160
